"","discharge","TN","TP"
"765",3523392000,179588135854.08,7981694926.848
"766",2249856000,140159189237.76,7645046685.696
"767",2736288000,170462424084.48,9297950404.608
"768",2179872000,135799398789.12,7407239933.952
"769",2783808000,173422775623.68,9459424124.928
"770",2466720000,188593965619.2,9080450196.48
"771",4664736000,356644070184.96,17171751527.424
"772",3983904000,304590814525.44,14665483662.336
"773",2115072000,161708591185.92,7785969205.248
"774",1573344000,98014548234.24,1871186829.9264
"775",1186876800,73938816534.528,1411559224.75008
"776",564624000,35174358743.04,671510485.0944
"777",436060800,27165262215.168,518609551.38048
"778",362577600,19507371028.992,872698177.6128
"779",401500800,21601513921.536,966383517.5424
"780",463536000,24939126789.12,1115697777.408
"781",466568640,25102288643.7888,1122997123.53792
"782",648864000,34910129018.88,1561768929.792
"783",270604800,16857856401.408,536386340.0448
"784",527299200,32849137170.432,1045199819.0592
"785",595814400,37117425844.224,1181009004.1344
"786",303955200,18935484936.192,602492702.5152
"787",347587200,21653625894.912,688979005.7472
"788",610646400,32853948761.088,674370527.20128
"789",801360000,43114706611.2,884986083.072
"790",829958400,44653355440.128,916568874.82368
"791",381084480,20503076706.2016,420852627.127296
"792",752803200,36238862011.392,959263994.4192
"793",498484800,23996340453.888,635197247.3088
"794",253411200,12198850255.872,322910742.0672
"795",392688000,18903434849.28,500385040.128
"796",499478400,24044170927.104,636463348.0704
"797",444882240,20156226261.8112,844041974.713344
"798",283867200,12861137166.336,538560118.84032
"799",722304000,32725340651.52,1370373639.7824
"800",454204800,20578602369.024,861728974.20288
"801",624758400,35382317322.24,1079160678.32832
"802",808099200,45765566853.12,1395849789.02016
"803",837129600,47409662914.56,1445994718.89408
"804",1065415680,60338325454.848,1840318926.37286
"805",1201996800,57862395076.608,2586789426.95424
"806",2413152000,116165662341.12,5193288434.0736
"807",2440368000,117475801390.08,5251859356.2624
"808",2679264000,128975910819.84,5765981895.4752
"809",3643488000,226978226196.48,11348911309.824
"810",5824224000,362831449559.04,18141572477.952
"811",5900256000,367568012021.76,18378400601.088
"812",6664032000,415148934942.72,20757446747.136
"813",6504192000,405191388856.32,20259569442.816
"814",6469632000,403038405918.72,12457550728.3968
"815",6435072000,400885422981.12,12391003983.0528
"816",6652800000,414449215488,12810248478.72
"817",6663168000,415095110369.28,12830212502.3232
"818",5363712000,243013055938.56,16707147595.776
"819",4901472000,222070403727.36,15267340256.256
"820",3271968000,148242661539.84,10191682980.864
"821",4709664000,213380181688.32,14669887491.072
"822",5341248000,302494102732.8,9377317184.7168
"823",3349728000,189707155660.8,5880921825.4848
"824",1695168000,96003466444.8,2976107459.7888
"825",1138665600,64486732124.16,1999088695.84896
"826",413251200,14042341896.192,1755292737.024
"827",352080000,11963734732.8,1495466841.6
"828",645235200,21925195333.632,2740649416.704
"829",388851840,13213247739.4944,1651655967.4368
"830",315273600,16069571057.664,607072684.40064
"831",580262400,29576113790.976,1117319854.32576
"832",496368000,25299996088.32,955777630.0032
"833",230878080,11767911148.3392,444565532.270592
"834",470707200,23992058953.728,906366671.58528
"835",546912000,32522275215.36,1238943817.728
"836",263692800,15680566185.984,597354902.3232
"837",364003200,21645552208.896,824592465.1008
"838",505526400,30061268923.392,1145191197.0816
"839",387002880,20821497989.5296,657520989.14304
"840",705369600,37950238789.632,1198428593.3568
"841",930441600,50059544527.872,1580827721.9328
"842",591071040,31800756808.3968,1004234425.52832
"843",579312000,32808524083.2,1164702604.9536
"844",692314560,39208265865.216,1391893438.21517
"845",518918400,29388217098.24,1043281706.98752
"846",447526080,25345013004.288,899747961.652224
"847",964224000,54607476326.4,1938565409.5872
"848",817862400,37054793613.312,926369840.3328
"849",444787200,20151920295.936,503798007.3984
"850",441763200,20014912290.816,500372807.2704
"851",462525120,20955570108.8256,523889252.72064
"852",294192000,12495864038.4,999669123.072
"853",430444800,18283228968.96,1462658317.5168
