eventName,eventYear,region,originalGridCode,monitoringProgramme,programmeName,occurredBefore,occurredBeforeText,waterDiscoloration,highPhyto,seafoodToxin,massMortal,foamMucil,otherEffect,otherEffectText,days,months,locationText,latitude,longitude,additionalLocationInfo,eventDate,initialDate,finalDate,quarantineStartDate,quarantineEndDate,additionalDateInfo,causativeKnown,pigmentAnalysisInfo,additionalAlgaeInfo,toxicityDetected,toxicityRange,humansAffected,fishAffected,naturalFishAffected,aquacultureFishAffected,planktonicAffected,benthicAffected,shellfishAffected,birdsAffected,otherTerrestrialAffected,aquaticMammalsAffected,seaweedAffected,effectsComments,unexplainedToxicity,toxicityComments,transvectors,eventBiblio,syndromeText,active,created_at,updated_at,checked_at,countryName,syndromeName,speciesContaining,additionalHarmfulEffectInfo,toxinAssayComments,assaytype,concentration,toxinType,toxin,causativeSpeciesName0,cellsPerLitre0,comments0,additionalSpeciesName0,additionalCellsPerLitre0,additionalComments0,causativeSpeciesName1,cellsPerLitre1,comments1,causativeSpeciesName2,cellsPerLitre2,comments2,causativeSpeciesName3,cellsPerLitre3,comments3,additionalSpeciesName1,additionalCellsPerLitre1,additionalComments1,additionalSpeciesName2,additionalCellsPerLitre2,additionalComments2
PF-19-016,2019,Australes archipelago,,1,CFP monitoring programme of French Polynesia,1,,0,0,1,0,0,0,,0,0,RAPA,,,,2/27/2019,,,,,,0,,,0,,1,0,0,0,0,0,0,0,0,0,0,,NULL,,Seriola lalandi,,,,4/11/2019 1:09,,,FRENCH POLYNESIA,CFP (Ciguatera Fish Poisoning),,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF-19-015,2019,Australes archipelago,,1,CFP monitoring programme of French Polynesia,1,,0,0,1,0,0,0,,0,0,RAIVAVAE,,,,2/26/2019,,,,,,0,,,0,,1,0,0,0,0,0,0,0,0,0,0,,NULL,,Lutjanus fulvus,,,,4/11/2019 1:08,,,FRENCH POLYNESIA,CFP (Ciguatera Fish Poisoning),,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF-19-014,2019,Marquesas archipelago,,1,CFP monitoring programme of French Polynesia,1,,0,0,1,0,0,0,,0,0,UA POU,,,,3/12/2019,,,,,,0,,,0,,1,0,0,0,0,0,0,0,0,0,0,,NULL,,Lutjanidae,,,,4/11/2019 1:06,,,FRENCH POLYNESIA,CFP (Ciguatera Fish Poisoning),,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF-19-013,2019,Marquesas archipelago,,1,CFP monitoring programme of French Polynesia,1,,0,0,1,0,0,0,,0,0,UA POU,,,,1/10/2019,,,,,,0,,,0,,1,0,0,0,0,0,0,0,0,0,0,,NULL,,Lutjanus bohar,,,,4/11/2019 1:05,,,FRENCH POLYNESIA,CFP (Ciguatera Fish Poisoning),,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF-19-012,2019,Marquesas archipelago,,1,CFP monitoring programme of French Polynesia,1,,0,0,1,0,0,0,,0,0,UA POU,,,,2/1/2019,,,,,,0,,,0,,1,0,0,0,0,0,0,0,0,0,0,,NULL,,Myripristis amena,,,,4/11/2019 1:04,,,FRENCH POLYNESIA,CFP (Ciguatera Fish Poisoning),,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF-19-011,2019,Gambier archipelago,,0,CFP monitoring programme of French Polynesia,1,,0,0,1,0,0,0,,0,0,MANGAREVA,,,,4/8/2019,,,,,,0,,,0,,1,0,0,0,0,0,0,0,0,0,0,,NULL,,Scaridae,,,,4/11/2019 1:03,,,FRENCH POLYNESIA,CFP (Ciguatera Fish Poisoning),,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF-19-010,2019,Gambier archipelago,,1,CFP monitoring programme of French Polynesia,1,,0,0,1,0,0,0,,0,0,MANGAREVA,,,,3/15/2019,,,,,,0,,,0,,1,0,0,0,0,0,0,0,0,0,0,,NULL,,Lutjanus fulvus,,,,4/11/2019 1:02,,,FRENCH POLYNESIA,CFP (Ciguatera Fish Poisoning),,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF-19-009,2019,Gambier archipelago,,1,CFP monitoring programme of French Polynesia,1,,0,0,1,0,0,0,,0,0,MANGAREVA,,,,3/7/2019,,,,,,0,,,0,,1,0,0,0,0,0,0,0,0,0,0,,NULL,,Siganus argenteus,,,,4/11/2019 1:01,,,FRENCH POLYNESIA,CFP (Ciguatera Fish Poisoning),,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF-19-008,2019,Gambier archipelago,,1,CFP monitoring programme of French Polynesia,1,,0,0,1,0,0,0,,0,0,MANGAREVA,,,,3/4/2019,,,,,,0,,,0,,1,0,0,0,0,0,0,0,0,0,0,,NULL,,Scaridae,,,,4/11/2019 12:51,,,FRENCH POLYNESIA,CFP (Ciguatera Fish Poisoning),,,,,,,,,,,,,,,,,,,,,,,,,,,,
PF-19-007,2019,Gambier archipelago,,1,CFP monitoring programme of French Polynesia,1,,0,0,1,0,0,0,,0,0,MANGAREVA,,,,2/24/2019,,,,,,0,,,0,,1,0,0,0,0,0,0,0,0,0,0,,NULL,,Scarus microrhinos and Myripristis amena,,,,4/11/2019 12:50,,,FRENCH POLYNESIA,CFP (Ciguatera Fish Poisoning),,,,,,,,,,,,,,,,,,,,,,,,,,,,
