"","Real","SVM","NB","RVM","NET"
"557",0,1,0,0,0
"558",1,0,1,1,1
"559",1,1,1,1,0
"560",1,1,0,0,0
"561",0,0,0,0,0
"562",0,0,0,0,0
"563",0,0,0,0,1
"564",1,0,1,1,0
"565",0,0,0,0,0
"566",0,0,0,0,0
"567",1,0,1,1,0
"568",0,0,0,1,1
"569",0,1,1,0,1
"570",0,0,0,0,0
"571",0,0,0,0,1
"572",0,0,0,0,0
"573",0,0,1,0,0
"574",0,0,1,1,1
"575",1,0,1,1,0
"576",0,1,1,0,0
"577",0,0,0,0,0
"578",0,0,0,0,1
"579",0,0,0,0,0
"580",0,0,0,0,0
"581",0,0,1,1,0
"582",1,1,1,1,1
"583",0,0,1,0,0
"584",0,0,1,0,0
"585",0,0,0,0,0
"586",0,0,0,0,0
"587",0,0,0,0,0
"588",0,0,0,0,1
"589",0,0,0,0,0
"590",0,0,1,1,0
"591",0,1,1,1,1
"592",1,0,1,0,0
"593",0,0,0,0,0
"594",0,1,1,1,1
"595",0,1,0,1,1
"596",0,0,1,0,0
"597",0,0,0,0,0
"598",0,0,1,1,0
"599",0,1,1,1,0
"600",0,0,1,0,0
"601",0,0,1,0,0
"602",0,0,0,0,0
"603",0,0,0,0,0
"604",0,0,1,1,0
"605",1,1,1,1,1
"606",0,0,0,0,0
"607",1,1,0,1,0
"608",0,0,1,1,1
"609",0,0,0,0,1
"610",0,0,1,0,0
"611",0,0,1,0,0
"612",1,0,1,0,0
"613",0,0,0,0,0
"614",0,0,1,1,1
"615",0,0,1,0,0
"616",0,0,1,0,0
"617",1,0,1,1,1
"618",0,0,0,0,0
"619",0,0,0,0,0
"620",1,0,1,1,1
"621",0,0,1,0,1
"622",1,0,0,0,1
"623",0,0,1,1,0
"624",0,0,1,0,0
"625",0,1,0,0,0
"626",0,0,1,0,0
"627",0,1,0,0,0
"628",1,1,1,1,0
"629",0,0,1,0,0
"630",0,0,0,0,0
"631",0,0,0,0,0
"632",1,1,0,1,1
"633",0,1,1,1,0
"634",0,1,0,0,0
"635",0,0,1,0,1
"636",1,1,0,0,0
"637",0,0,1,0,0
"638",0,0,0,0,0
"639",0,1,0,1,0
"640",0,0,1,1,0
"641",0,0,0,0,0
"642",0,1,1,1,0
"643",1,1,1,1,0
"644",0,0,0,0,1
"645",0,1,0,0,1
"646",0,0,0,0,0
"647",1,0,0,1,1
"648",0,0,0,0,0
"649",0,1,1,0,1
"650",0,0,0,1,0
"651",0,0,0,0,0
"652",1,0,1,0,0
"653",1,1,1,0,0
"654",0,0,0,0,0
"655",0,0,1,0,1
"656",0,0,1,0,0
"657",0,0,0,0,1
"658",0,0,0,0,1
"659",0,0,1,1,1
"660",1,1,0,0,0
"661",0,0,1,1,0
"662",0,0,1,0,1
"663",1,1,1,1,0
"664",1,1,1,1,1
"665",1,1,0,0,1
"666",0,0,1,1,0
"667",1,0,0,0,1
"668",0,0,0,0,0
"669",0,0,0,0,0
"670",0,0,0,0,0
"671",0,0,0,0,0
"672",0,0,0,1,0
"673",0,0,0,0,0
"674",0,0,1,0,0
"675",1,0,1,0,0
"676",1,1,0,0,0
"677",0,0,0,0,0
"678",0,0,0,0,1
"679",0,0,1,1,0
"680",0,0,0,0,0
"681",0,0,0,0,0
"682",0,0,0,0,0
"683",1,0,1,1,0
"684",0,0,0,0,0
"685",0,0,1,0,1
"686",1,1,1,1,1
"687",0,0,0,0,0
"688",0,0,0,0,1
"689",0,0,1,1,0
"690",0,0,1,0,0
"691",0,0,0,0,0
"692",0,0,0,0,1
"693",0,0,1,0,0
"694",1,1,1,0,1
"695",1,1,0,0,1
"696",1,1,1,1,0
"697",0,0,0,0,0
"698",0,1,1,1,0
"699",0,0,1,1,0
"700",0,0,0,0,1
"701",0,1,1,1,0
"702",0,0,0,0,1
"703",1,0,1,1,1
"704",0,0,0,0,1
"705",1,0,1,0,0
"706",0,1,0,0,1
"707",0,0,1,1,0
"708",0,0,1,0,1
"709",0,0,0,0,0
"710",0,0,1,1,0
"711",0,0,1,1,1
"712",0,0,1,0,1
"713",0,0,1,1,0
"714",1,1,1,1,1
"715",0,0,0,0,0
"716",0,1,1,0,1
"717",1,0,1,1,1
"718",0,0,1,1,0
"719",1,0,1,1,1
"720",1,1,1,0,1
"721",0,0,0,0,1
"722",1,0,1,1,0
"723",0,0,1,0,0
"724",1,0,1,0,0
"725",0,0,1,0,0
"726",0,0,0,0,1
"727",1,0,1,1,0
"728",0,0,1,0,0
"729",0,1,0,0,0
"730",0,0,1,1,1
"731",0,0,1,0,0
"732",1,1,1,1,0
"733",0,0,1,0,0
"734",1,0,1,0,0
"735",0,0,0,0,0
"736",0,0,0,0,1
"737",1,0,0,1,1
"738",0,0,1,0,0
"739",1,1,1,1,1
"740",0,0,0,0,1
"741",0,0,0,1,1
"742",0,0,0,0,0
"743",0,0,0,0,0
"744",0,0,0,0,0
"745",0,0,1,0,0
"746",1,1,1,1,0
"747",0,1,1,1,0
"748",0,0,1,0,0
"749",1,0,0,0,0
"750",0,1,1,1,0
"751",1,0,0,0,0
"752",1,0,1,0,1
"753",0,0,0,0,0
"754",0,0,1,0,0
"755",0,0,1,0,1
"756",0,0,0,0,0
"757",0,0,1,0,0
"758",0,0,0,0,0
"759",0,1,0,0,1
"760",0,0,0,0,1
"761",0,1,1,1,0
"762",1,1,0,0,1
"763",0,0,0,0,0
"764",0,0,0,0,0
"765",1,0,0,0,0
"766",1,0,0,0,0
"767",0,0,1,0,0
"768",1,1,1,1,0
"769",1,0,1,1,0
"770",1,1,1,0,0
"771",1,1,1,0,0
"772",1,1,1,1,0
"773",0,0,0,0,0
"774",0,1,1,1,1
"775",0,0,1,0,0
"776",0,0,0,0,0
"777",0,0,0,0,1
"778",0,0,0,0,0
"779",1,0,1,0,0
"780",0,0,0,0,0
"781",1,1,0,1,1
"782",0,0,1,1,1
"783",1,0,1,0,0
"784",1,1,1,1,0
"785",0,0,1,0,0
"786",1,1,1,1,1
"787",1,0,1,0,0
"788",1,1,1,0,0
"789",0,0,1,0,0
"790",0,0,1,0,0
"791",0,0,1,0,1
"792",0,0,1,1,0
"793",0,0,0,0,0
"794",0,0,1,1,0
"795",1,1,0,0,0
"796",0,0,1,0,0
"797",0,0,0,0,1
"798",0,0,1,0,1
"799",0,1,0,0,0
"800",0,0,1,0,0
"801",0,0,0,0,0
"802",0,0,1,0,0
"803",1,0,0,0,1
"804",0,0,0,0,0
"805",0,0,0,0,0
"806",0,0,1,0,0
"807",0,0,1,0,1
"808",1,0,1,1,0
"809",0,0,0,1,0
"810",0,0,0,0,0
"811",0,0,1,0,0
"812",0,0,0,1,0
"813",1,1,1,1,0
"814",1,0,1,0,0
"815",0,0,1,0,0
"816",0,0,0,0,0
"817",1,0,0,0,0
"818",0,0,0,0,1
"819",1,0,1,1,0
"820",1,0,1,1,0
"821",0,0,1,0,0
"822",1,1,1,0,0
"823",0,0,1,0,0
"824",0,0,1,1,0
"825",0,0,1,1,0
"826",0,0,1,0,0
"827",0,1,0,0,0
"828",0,0,0,0,1
"829",0,0,1,0,0
"830",1,0,0,0,0
"831",1,1,0,0,0
"832",1,1,1,0,0
"833",0,0,0,0,1
"834",0,0,1,1,0
"835",1,1,1,0,0
"836",0,0,0,0,0
"837",0,0,1,1,1
"838",0,0,0,0,0
"839",0,0,1,1,0
"840",0,0,1,1,1
"841",0,0,1,1,1
"842",1,1,0,0,1
"843",0,0,0,0,0
"844",0,0,1,1,0
"845",0,0,1,1,0
"846",0,0,1,0,0
"847",0,0,0,0,0
"848",0,0,0,0,1
"849",0,0,0,0,0
"850",1,0,1,1,0
"851",0,0,0,0,0
"852",1,1,1,0,0
"853",0,0,1,0,1
"854",0,0,0,0,0
"855",1,1,1,0,0
"856",0,0,0,0,1
"857",1,0,1,0,0
"858",1,1,1,1,0
"859",0,1,1,1,0
"860",1,0,0,0,0
"861",1,1,0,0,0
"862",0,0,1,0,0
"863",0,1,1,0,0
"864",1,0,1,1,0
"865",0,0,0,0,0
"866",0,0,1,0,0
"867",0,0,1,1,1
