,site_no,lat,lon
686,2307445,28.07705556,-82.6977778
687,2307479,28.1264034,-82.7367675
688,2307498,28.05362833,-82.7109336
689,2307668,27.9797421,-82.7423232
690,2307669,27.97319444,-82.7294444
691,2307671,27.97529783,-82.7273228
692,2307672,27.97224239,-82.7256561
693,2307673,27.9730757,-82.7156559
694,2307674,27.97550618,-82.7131558
695,2307697,27.97946439,-82.6956554
696,2307731,27.9419656,-82.7498233
697,2307780,27.91585545,-82.7248228
698,2307834,27.87194444,-82.6897222
699,2308193,27.7733605,-82.6564878
700,2308773,27.77169379,-82.7139892
701,2308776,27.7625274,-82.7276006
702,2308865,27.90780025,-82.6759327
703,2308870,27.8722458,-82.7370453
704,2308889,27.83919117,-82.7803798
705,2308929,27.81363685,-82.6795439
706,2308931,27.81613675,-82.6870441
707,2308935,27.81419235,-82.6956554
708,2308950,27.81023889,-82.7203611
709,2309110,27.90752187,-82.8167697
710,2309160,28.96025256,-82.7987188
711,2309415,28.02335166,-82.7406565
712,2309421,28.04,-82.7475
713,2309425,28.0469618,-82.7587125
714,2309445,28.0725164,-82.7598237
715,2309447,28.07112778,-82.7636611
716,2309740,28.22953268,-82.595306
717,2309848,28.18544444,-82.5533611
718,2309980,28.2216775,-82.63509859
719,2310000,28.21417784,-82.6664882
720,2310050,28.19417866,-82.71843379
721,2310147,28.16251317,-82.710378
722,2310175,28.15779109,-82.7564903
723,2310207,28.1716792,-82.7848245
724,2310240,28.38527998,-82.4892626
725,2310280,28.329172,-82.5367636
726,2310286,28.29413889,-82.5537222
727,2310288,28.29488889,-82.5728333
728,2310300,28.25731495,-82.6429044
729,2310304,28.23751034,-82.693711
730,2310305,28.2352882,-82.7003778
731,2310307,28.24028806,-82.7198227
732,2310308,28.2502877,-82.7226006
733,2310310,28.26973116,-82.7264897
734,2310322,28.28055556,-82.6677778
735,2310350,28.3197284,-82.6514885
736,2310352,28.3275058,-82.6662111
737,2310368,28.33877778,-82.6987778
738,2310525,28.51888454,-82.5823215
739,2310545,28.5311063,-82.6231559
740,2310550,28.53249516,-82.6270449
741,2310551,28.53582834,-82.6314894
742,2310600,28.53360629,-82.65010099
743,2310650,28.71526419,-82.5767656
744,2310660,28.73192996,-82.5964882
745,2310663,28.71526404,-82.6062107
746,2310673,28.70263889,-82.6247222
747,2310674,28.69470935,-82.6389891
748,2310675,28.76665075,-82.5887105
749,2310678,28.79970509,-82.58871089
750,2310688,28.79748294,-82.589822
751,2310689,28.8131111,-82.60563889
752,2310690,28.80137159,-82.6026
