"","Tampa_TN_mg","Myakka_TN_mg","Peace_TN_mg","Withlacoochee_TN_mg","Manatee_TN_mg","Hillsborough_TN_mg","Tampa_TP_mg","Myakka_TP_mg","Peace_TP_mg","Withlacoochee_TP_mg","Manatee_TP_mg","Hillsborough_TP_mg"
"114",12162646.0944,250004286.967681,1321868575.44,17958125385.2275,558898518.85632,732072304.8576,2746403.9568,39243516.8832001,1164973894.056,1144030196.95488,111509378.0064,179124074.592817
"115",16705526.742144,1260064728.15955,1237579854.1056,11341496567.0707,502490999.765781,721459281.4848,3772215.715968,36166795.189056,1090689534.97344,722514977.09568,100255157.147949,176527271.0016
"116",14436851.553792,1748215460.58423,1080455424.3648,15635197677.3005,395115413.41728,699755133.888,3259934.22182401,28269216.4492801,952214453.435519,996047075.87712,78831974.8655999,171216681.696
"117",9259148.45990398,3594322060.2576,933938666.1216,51392900521.1521,425732098.24992,651112704.748799,2090775.458688,430098098.5728,823088002.01184,3274007105.088,84940503.2784001,159314810.736408
"118",6599806.1790887,405333717.496816,849533332.269,51106244777.8311,370896117.166706,611600756.420786,989970.926863306,179963171.591598,748700871.336137,3255745576.1447,55611993.3841252,149646993.59232
"119",4804021.57536,245614500.532799,506904898.3776,48000079543.9333,270794422.245089,444677250.452211,720603.236304,42913119.3119999,446739550.62624,3057865967.43935,40602791.24352,106722540.108531
"120",2156984.10144001,257740244.17344,866175006.297599,14778271424.9318,445677203.39904,495423668.989565,323547.615216001,45031697.3376,763367318.634239,941456215.848959,66824635.09248,118901680.557496
"121",5269150.50048,356557408.034398,453812002.732801,24378531521.9443,2406438359.72506,465295487.453598,790372.575072,35017192.0079998,399948335.118721,1553044965.45408,360820261.917663,111670916.988864
"122",317379267.747923,161177624.001792,154405702.62432,27787922414.4845,243319393.45224,434527667.28,43639649.3153394,27281943.288576,136079044.462368,1770241696.77312,36483198.05088,104286640.1472
"123",317379267.747923,50704161.8400863,115048241.7696,9089034604.30079,2406438359.72506,644043897.0144,43639649.3153394,8582506.88569918,101392983.16704,579020906.995199,360820261.917663,139252734.4896
